First hand speed;Second hand speed
34.74409;18.09254
34.74409;18.09254
34.74409;18.09254
50.35168;20.45899
50.35168;20.45899
50.35168;20.45899
57.42591;10.91806
57.42591;10.91806
57.42591;10.91806
55.65615;7.601819
55.65615;7.601819
49.89651;3.150644
49.89651;3.150644
49.89651;3.150644
49.89651;3.150644
43.34006;3.338844
43.34006;3.338844
45.71857;4.193984
45.71857;4.193984
45.71857;4.193984
44.40793;4.924257
44.40793;4.924257
42.88906;2.627332
42.88906;2.627332
42.88906;2.627332
36.5612;8.762157
36.5612;8.762157
36.5612;8.762157
36.97182;7.205126
36.97182;7.205126
36.97182;7.205126
38.51217;11.90929
38.51217;11.90929
30.72183;18.56954
30.72183;18.56954
30.72183;18.56954
25.03815;21.56766
25.03815;21.56766
18.42138;21.49179
18.42138;21.49179
18.42138;21.49179
13.7355;14.15272
13.7355;14.15272
8.225184;8.51988
8.225184;8.51988
8.225184;8.51988
7.30403;6.820884
7.30403;6.820884
7.30403;6.820884
8.980498;12.44431
8.980498;12.44431
8.980498;12.44431
13.16656;25.82472
13.16656;25.82472
13.16656;25.82472
17.06336;33.39854
17.06336;33.39854
17.06336;33.39854
20.51898;42.97229
20.51898;42.97229
20.51898;42.97229
30.73923;42.55597
30.73923;42.55597
30.73923;42.55597
44.82344;33.1693
44.82344;33.1693
44.82344;33.1693
44.82344;33.1693
57.92316;27.27985
57.92316;27.27985
57.92316;27.27985
68.85774;21.21407
68.85774;21.21407
68.85774;21.21407
75.39297;20.55906
75.39297;20.55906
75.39297;20.55906
70.55025;19.64755
70.55025;19.64755
70.55025;19.64755
68.36065;17.06996
68.36065;17.06996
54.40724;13.63865
54.40724;13.63865
54.40724;13.63865
54.40724;13.63865
44.77064;11.85663
44.77064;11.85663
56.24619;4.975607
56.24619;4.975607
56.24619;4.975607
36.29455;7.47355
36.29455;7.47355
27.13929;10.05248
27.13929;10.05248
27.13929;10.05248
14.84887;10.20745
14.84887;10.20745
14.84887;10.20745
9.273649;16.46923
9.273649;16.46923
4.047652;12.06254
4.047652;12.06254
4.047652;12.06254
9.532255;8.72044
9.532255;8.72044
9.532255;8.72044
22.8808;6.406206
22.8808;6.406206
22.8808;6.406206
43.99689;12.33346
43.99689;12.33346
46.45604;3.615664
46.45604;3.615664
46.45604;3.615664
45.73782;2.198298
45.73782;2.198298
45.73782;2.198298
47.65837;1.629686
47.65837;1.629686
47.65837;1.629686
46.35339;4.755488
46.35339;4.755488
49.78492;6.676153
49.78492;6.676153
49.78492;6.676153
50.48206;9.79783
50.48206;9.79783
50.48206;9.79783
48.94133;7.240002
48.94133;7.240002
55.97656;4.437981
55.97656;4.437981
55.97656;4.437981
55.97656;4.437981
63.59374;14.99838
63.59374;14.99838
72.23108;15.37769
72.23108;15.37769
72.23108;15.37769
60.96586;13.90271
60.96586;13.90271
60.96586;13.90271
46.64213;10.6298
46.64213;10.6298
46.64213;10.6298
31.49958;6.642101
31.49958;6.642101
23.86536;4.41457
23.86536;4.41457
23.86536;4.41457
17.33276;4.584167
17.33276;4.584167
17.33276;4.584167
12.72276;6.83462
12.72276;6.83462
12.72276;6.83462
12.75059;10.81101
12.75059;10.81101
12.75059;10.81101
19.46001;17.61222
19.46001;17.61222
22.88706;16.70445
22.88706;16.70445
22.88706;16.70445
27.29539;10.03191
27.29539;10.03191
25.01183;10.92905
25.01183;10.92905
25.01183;10.92905
17.87973;8.413327
17.87973;8.413327
17.87973;8.413327
17.87973;8.413327
10.96174;8.485142
10.96174;8.485142
6.121199;6.225004
6.121199;6.225004
6.121199;6.225004
4.567102;4.249403
4.567102;4.249403
4.567102;4.249403
4.567102;4.249403
2.505684;8.480475
2.505684;8.480475
2.505684;8.480475
6.588656;11.61678
6.588656;11.61678
6.588656;11.61678
6.588656;11.61678
17.274;14.28245
17.274;14.28245
17.274;14.28245
20.93899;16.44161
20.93899;16.44161
20.93899;16.44161
26.44648;16.98537
26.44648;16.98537
26.44648;16.98537
32.077;14.32347
32.077;14.32347
32.077;14.32347
25.2871;9.789798
25.2871;9.789798
25.2871;9.789798
25.2871;9.789798
17.59059;15.19274
17.59059;15.19274
17.59059;15.19274
10.64868;7.461753
10.64868;7.461753
10.64868;7.461753
13.49001;10.55634
13.49001;10.55634
13.49001;10.55634
13.49001;10.55634
8.264679;11.08096
8.264679;11.08096
8.264679;11.08096
9.447008;10.55773
9.447008;10.55773
9.447008;10.55773
10.42251;13.09183
10.42251;13.09183
10.42251;13.09183
12.08044;14.66121
12.08044;14.66121
12.08044;14.66121
12.08044;14.66121
14.83811;14.14333
14.83811;14.14333
14.83811;14.14333
15.93304;11.24578
15.93304;11.24578
15.93304;11.24578
14.20125;9.38768
14.20125;9.38768
14.20125;9.38768
14.20125;9.38768
12.3349;6.563162
12.3349;6.563162
12.3349;6.563162
10.13017;6.578519
10.13017;6.578519
10.13017;6.578519
7.519053;7.999384
7.519053;7.999384
7.519053;7.999384
7.519053;7.999384
8.140717;16.21402
8.140717;16.21402
8.140717;16.21402
11.14778;6.572777
11.14778;6.572777
11.14778;6.572777
12.57499;4.605555
12.57499;4.605555
12.57499;4.605555
12.57499;4.605555
11.28738;4.920794
11.28738;4.920794
11.28738;4.920794
9.589944;5.066368
9.589944;5.066368
9.589944;5.066368
7.384754;6.335744
7.384754;6.335744
7.384754;6.335744
7.384754;6.335744
17.3885;7.533008
17.3885;7.533008
17.3885;7.533008
13.73353;8.241529
13.73353;8.241529
13.73353;8.241529
13.73353;8.241529
23.19302;5.922909
